movie_id;imdb_id;title;description;directors;writers;stars;runtime;budget;gross
13;0112453;Balto (1995);Balto: Directed by Simon Wells. With Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings. An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.;Simon Wells;Cliff Ruby, Elana Lesser, David Steven Cohen;Kevin Bacon, Bob Hoskins, Bridget Fonda;1 hour 18 minutes;Unknown Budget;$11,349,090
14;0113987;Nixon (1995);Nixon: Directed by Oliver Stone. With Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris. A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.;Oliver Stone;;Anthony Hopkins, Joan Allen, Powers Boothe;3 hours 12 minutes;$44,000,000 (estimated);$13,681,765
15;0112760;Cutthroat Island (1995);Cutthroat Island: Directed by Renny Harlin. With Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin. A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.;Renny Harlin;Michael Frost Beckner, James Gorman, Bruce A. Evans;Geena Davis, Matthew Modine, Frank Langella;2 hours 4 minutes;$98,000,000 (estimated);$10,017,322
16;0112641;Kazino (1995);Kazino: Directed by Martin Scorsese. With Robert De Niro, Sharon Stone, Joe Pesci, James Woods. In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.;Martin Scorsese;Nicholas Pileggi, Martin Scorsese;Robert De Niro, Sharon Stone, Joe Pesci;2 hours 58 minutes;$52,000,000 (estimated);$116,112,375
17;0114388;Sense and Sensibility (1995);Sense and Sensibility: Directed by Ang Lee. With James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet. Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.;Ang Lee;;Emma Thompson, Kate Winslet, James Fleet;2 hours 16 minutes;$16,000,000 (estimated);$134,582,776
18;0113101;Four Rooms (1995);Four Rooms: Directed by Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones. With Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna. Four interlocking tales that take place in a fading hotel on New Year's Eve.;;Allison Anders, Alexandre Rockwell, Robert Rodriguez;Tim Roth, Antonio Banderas, Sammi Davis;1 hour 38 minutes;$4,000,000 (estimated);$4,257,354
19;0112281;Eys Ventura 2: Tabiat chaqirganda (1995);Eys Ventura 2: Tabiat chaqirganda: Directed by Steve Oedekerk. With Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi. Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.;Steve Oedekerk;;Jim Carrey, Ian McNeice, Simon Callow;1 hour 30 minutes;$30,000,000 (estimated);$212,385,533
20;0113845;Money Train (1995);Money Train: Directed by Joseph Ruben. With Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake. A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.;Joseph Ruben;Doug Richardson, David Loughery;Wesley Snipes, Woody Harrelson, Jennifer Lopez;1 hour 50 minutes;$68,000,000 (estimated);$35,431,113
21;0113161;Get Shorty (1995);Get Shorty: Directed by Barry Sonnenfeld. With John Travolta, Gene Hackman, Rene Russo, Danny DeVito. A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.;Barry Sonnenfeld;;Gene Hackman, Rene Russo, Danny DeVito;1 hour 45 minutes;$30,250,000 (estimated);$115,101,622
22;0112722;Copycat (1995);Copycat: Directed by Jon Amiel. With Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara. A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.;Jon Amiel;;Sigourney Weaver, Holly Hunter, Dermot Mulroney;2 hours 3 minutes;$20,000,000 (estimated);$32,051,917
23;0112401;Assassins (1995);Assassins: Directed by Richard Donner. With Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov. Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.;Richard Donner;Lilly Wachowski, Lana Wachowski, Brian Helgeland;Sylvester Stallone, Antonio Banderas, Julianne Moore;2 hours 13 minutes;$50,000,000 (estimated);$30,303,072
24;0114168;Powder (1995);Powder: Directed by Victor Salva. With Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum. An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.;Victor Salva;;Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen;1 hour 51 minutes;$9,500,000 (estimated);$30,862,156
25;0113627;Leaving Las Vegas (1995);Leaving Las Vegas: Directed by Mike Figgis. With Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis. Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.;Mike Figgis;;Nicolas Cage, Elisabeth Shue, Julian Sands;1 hour 51 minutes;$3,600,000 (estimated);$32,029,928
26;0114057;Othello (1995);Othello: Directed by Oliver Parker. With Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker. The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.;Oliver Parker;;Laurence Fishburne, Kenneth Branagh, Irène Jacob;2 hours 3 minutes;$11,000,000 (estimated);$2,844,379
27;0114011;Now and Then (1995);Now and Then: Directed by Lesli Linka Glatter. With Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith. Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.;Lesli Linka Glatter;;Christina Ricci, Demi Moore, Rosie O'Donnell;1 hour 42 minutes;Unknown Budget;$37,591,674
28;0114117;Persuasion (TV Movie 1995);Persuasion: Directed by Roger Michell. With Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave. Theatrical film of Persuasion with Ciaran Hinds & Amanda Root. Directed by Roger Michell.;Roger Michell;Jane Austen, Nick Dear;Amanda Root, Ciarán Hinds, Susan Fleetwood;1 hour 43 minutes;£1,000,000 (estimated);$5,269,757
29;0112682;La cité des enfants perdus (1995);La cité des enfants perdus: Directed by Marc Caro, Jean-Pierre Jeunet. With Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon. A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.;;Gilles Adrien, Jean-Pierre Jeunet, Marc Caro;Ron Perlman, Daniel Emilfork, Judith Vittet;1 hour 52 minutes;$18,000,000 (estimated);$1,783,616
30;0115012;Yao a yao, yao dao wai po qiao (1995);Yao a yao, yao dao wai po qiao: Directed by Yimou Zhang. With Gong Li, Baotian Li, Xiaoxiao Wang, Xuejian Li. A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.;Yimou Zhang;;Gong Li, Baotian Li, Xiaoxiao Wang;1 hour 48 minutes;Unknown Budget;$2,086,101
31;0112792;Dangerous Minds (1995);Dangerous Minds: Directed by John N. Smith. With Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett. LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.;John N. Smith;;Michelle Pfeiffer, George Dzundza, Courtney B. Vance;1 hour 39 minutes;$23,000,000 (estimated);$179,519,401
32;0114746;O'n ikki maymun (1995);O'n ikki maymun: Directed by Terry Gilliam. With Joseph Melito, Bruce Willis, Jon Seda, Michael Chance. In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.;Terry Gilliam;;Bruce Willis, Madeleine Stowe, Brad Pitt;2 hours 9 minutes;$29,000,000 (estimated);$168,839,459
34;0112431;Beyb: To'rt oyoqli chaqaloq (1995);Beyb: To'rt oyoqli chaqaloq: Directed by Chris Noonan. With Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving. Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals accept him?;Chris Noonan;;James Cromwell, Magda Szubanski, Christine Cavanaugh;1 hour 31 minutes;$30,000,000 (estimated);$254,134,910
36;0112818;Dead Man Walking (1995);Dead Man Walking: Directed by Tim Robbins. With Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry. A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.;Tim Robbins;;Susan Sarandon, Sean Penn, Robert Prosky;2 hours 2 minutes;$11,000,000 (estimated);$39,363,635
38;0113442;It Takes Two (1995);It Takes Two: Directed by Andy Tennant. With Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen. Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.;Andy Tennant;;Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen;1 hour 41 minutes;Unknown Budget;$19,474,589
39;0112697;Aqldan ozgan qizlar (1995);Aqldan ozgan qizlar: Directed by Amy Heckerling. With Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd. Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.;Amy Heckerling;;Alicia Silverstone, Stacey Dash, Brittany Murphy;1 hour 37 minutes;$12,000,000 (estimated);$56,698,025
40;0112749;Cry, the Beloved Country (1995);Cry, the Beloved Country: Directed by Darrell Roodt. With James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton. A South African preacher goes to search for his wayward son, who has committed a crime in the big city.;Darrell Roodt;;Richard Harris, James Earl Jones, Vusi Kunene;1 hour 46 minutes;Unknown Budget;$670,727
41;0114279;Richard III (1995);Richard III: Directed by Richard Loncraine. With Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson. The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.;Richard Loncraine;Ian McKellen, Richard Loncraine, Richard Eyre;Ian McKellen, Annette Bening, Christopher Bowen;1 hour 44 minutes;£6,000,000 (estimated);$2,748,518
42;0112819;Dead Presidents (1995);Dead Presidents: Directed by Albert Hughes, Allen Hughes. With Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez. A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.;;Allen Hughes, Albert Hughes, Michael Henry Brown;Larenz Tate, Keith David, Chris Tucker;1 hour 59 minutes;$10,000,000 (estimated);$24,147,179
43;0114272;Restoration (1995);Restoration: Directed by Michael Hoffman. With Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker. The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.;Michael Hoffman;;Robert Downey Jr., Sam Neill, David Thewlis;1 hour 57 minutes;$19,000,000 (estimated);$4,005,941
44;0113855;O'lim jangi (1995);O'lim jangi: Directed by Paul W.S. Anderson. With Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa. Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.;Paul W.S. Anderson;;Christopher Lambert, Robin Shou, Linden Ashby;1 hour 41 minutes;$18,000,000 (estimated);$122,195,920
45;0114681;To Die For (1995);To Die For: Directed by Gus Van Sant. With Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck. A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.;Gus Van Sant;;Nicole Kidman, Matt Dillon, Joaquin Phoenix;1 hour 46 minutes;$20,000,000 (estimated);$21,286,518
46;0113347;How to Make an American Quilt (1995);How to Make an American Quilt: Directed by Jocelyn Moorhouse. With Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin. Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.;Jocelyn Moorhouse;;Winona Ryder, Ellen Burstyn, Anne Bancroft;1 hour 57 minutes;$10,000,000 (estimated);$41,200,020
47;0114369;Yetti (1995);Yetti: Directed by David Fincher. With Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt. Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;David Fincher;;Morgan Freeman, Brad Pitt, Kevin Spacey;2 hours 7 minutes;$33,000,000 (estimated);$328,248,559
48;0114148;Pocahontas (1995);Pocahontas: Directed by Mike Gabriel, Eric Goldberg. With Joe Baker, Christian Bale, Irene Bedard, Billy Connolly. An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.;;Carl Binder, Susannah Grant, Philip LaZebnik;Mel Gibson, Linda Hunt, Christian Bale;1 hour 21 minutes;$55,000,000 (estimated);$346,079,773
49;0114916;When Night Is Falling (1995);When Night Is Falling: Directed by Patricia Rozema. With Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox. An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.;Patricia Rozema;;Pascale Bussières, Rachael Crawford, Henry Czerny;1 hour 34 minutes;Unknown Budget;$919,671
50;0114814;Shubhali shaxslar (1995);Shubhali shaxslar: Directed by Bryan Singer. With Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak. The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.;Bryan Singer;;Kevin Spacey, Gabriel Byrne, Chazz Palminteri;1 hour 46 minutes;$6,000,000 (estimated);$23,341,568
52;0113819;Mighty Aphrodite (1995);Mighty Aphrodite: Directed by Woody Allen. With Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena. When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.;Woody Allen;;Woody Allen, Mira Sorvino, Pamela Blair;1 hour 35 minutes;$15,000,000 (estimated);$6,468,498
53;0110299;Lamerica (1994);Lamerica: Directed by Gianni Amelio. With Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli. Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.;Gianni Amelio;;Enrico Lo Verso, Michele Placido, Piro Milkani;1 hour 56 minutes;Unknown Budget;$4,788,331
54;0112499;The Big Green (1995);The Big Green: Directed by Holly Goldberg Sloan. With Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry. A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.;Holly Goldberg Sloan;;Steve Guttenberg, Olivia d'Abo, Jay O. Sanders;1 hour 40 minutes;$12,000,000 (estimated);$17,736,619
55;0113158;Georgia (1995);Georgia: Directed by Ulu Grosbard. With Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich. Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.;Ulu Grosbard;;Jennifer Jason Leigh, Mare Winningham, Ted Levine;1 hour 55 minutes;Unknown Budget;$1,110,104
57;0113321;Home for the Holidays (1995);Home for the Holidays: Directed by Jodie Foster. With Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning. After being fired, making out with her soon-to-be ex-boss, and discovering that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces the unenviable task of spending the holiday with her exceedingly dull family.;Jodie Foster;;Holly Hunter, Anne Bancroft, Robert Downey Jr.;1 hour 43 minutes;$20,000,000 (estimated);$17,519,169
58;0110877;Il postino (1994);Il postino: Directed by Michael Radford, Massimo Troisi. With Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa. A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.;;Antonio Skármeta, Furio Scarpelli, Giacomo Scarpelli;Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta;1 hour 48 minutes;$3,000,000 (estimated);$21,898,920
60;0113419;The Indian in the Cupboard (1995);The Indian in the Cupboard: Directed by Frank Oz. With Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins. Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cupboard from his older brother, a set of antique keys from his mother, and a plastic Indian from his best friend, Patrick.;Frank Oz;;Hal Scardino, Litefoot, Lindsay Crouse;1 hour 36 minutes;$45,000,000 (estimated);$35,656,131
61;0116260;Eye for an Eye (1996);Eye for an Eye: Directed by John Schlesinger. With Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle. When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.;John Schlesinger;;Sally Field, Kiefer Sutherland, Ed Harris;1 hour 41 minutes;$20,000,000 (estimated);$26,877,589
62;0113862;Mr. Holland's Opus (1995);Mr. Holland's Opus: Directed by Stephen Herek. With Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis. A frustrated composer finds fulfillment as a high school music teacher.;Stephen Herek;;Richard Dreyfuss, Glenne Headly, Jay Thomas;2 hours 24 minutes;$23,000,000 (estimated);$106,269,971
63;0116126;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Don't Be a Menace to South Central While Drinking Your Juice in the Hood: Directed by Paris Barclay. With Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer. A parody of several U.S. films about being in the 'Hood', for instance Ko'cha yigitlari (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).;Paris Barclay;;Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans;1 hour 29 minutes;$3,800,000 (estimated);$20,949,601
64;0118002;Two If by Sea (1996);Two If by Sea: Directed by Bill Bennett. With Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto. A couple steals a Matisse painting on contract and manage to evade the police. The sale takes place four days later on an island, but things don't go as planned.;Bill Bennett;Denis Leary, Mike Armstrong, Ann Leary;Sandra Bullock, Denis Leary, Stephen Dillane;1 hour 36 minutes;Unknown Budget;$10,658,278
65;0115683;Bio-Dome (1996);Bio-Dome: Directed by Jason Bloom. With William Atherton, Denise Dowse, Dara Tomanovich, Kevin West. Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.;Jason Bloom;Adam Leff, Mitchell Peck, Jason Blumenthal;Pauly Shore, Stephen Baldwin, William Atherton;1 hour 28 minutes;$15,000,000 (estimated);$13,427,615
66;0116839;Lawnmower Man 2: Beyond Cyberspace (1995);Lawnmower Man 2: Beyond Cyberspace: Directed by Farhad Mann. With Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget. They thought they had destroyed him, but the simple gardener-turned-superkiller has found a way to reboot himself in Lawnmower Man 2: Beyond Cyberspace.;Farhad Mann;Farhad Mann, Michael Miner;Patrick Bergin, Matt Frewer, Austin O'Brien;1 hour 33 minutes;$15,000,000 (estimated);$2,409,225
68;0113149;Gazon maudit (1995);Gazon maudit: Directed by Josiane Balasko. With Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado. After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.;Josiane Balasko;;Victoria Abril, Josiane Balasko, Alain Chabat;1 hour 44 minutes;Unknown Budget;$1,026,646
69;0113118;Friday (1995);Friday: Directed by F. Gary Gray. With Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr.. It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.;F. Gary Gray;;Ice Cube, Chris Tucker, Nia Long;1 hour 31 minutes;$3,500,000 (estimated);$28,215,918
70;0116367;Tongdan tonggacha (1996);Tongdan tonggacha: Directed by Robert Rodriguez. With George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis. Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.;Robert Rodriguez;;Harvey Keitel, George Clooney, Juliette Lewis;1 hour 48 minutes;$19,000,000 (estimated);$25,839,496
71;0113010;Fair Game (1995);Fair Game: Directed by Andrew Sipes. With William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald. Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.;Andrew Sipes;;William Baldwin, Cindy Crawford, Steven Berkoff;1 hour 31 minutes;$50,000,000 (estimated);$11,534,477
72;0113537;Kicking and Screaming (1995);Kicking and Screaming: Directed by Noah Baumbach. With Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach. A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.;Noah Baumbach;Noah Baumbach, Bo Berkman;Josh Hamilton, Eric Stoltz, Samuel Gould;1 hour 36 minutes;Unknown Budget;$718,490
73;0113828;Les misérables (1995);Les misérables: Directed by Claude Lelouch. With Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch. A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.;Claude Lelouch;;Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines;2 hours 55 minutes;Unknown Budget;$740,048
74;0115644;Bed of Roses (1996);Bed of Roses: Directed by Michael Goldenberg. With Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin. Follows a young career girl who is swept off her feet by a shy florist who fell in love with her after one glimpse through a shadowy window.;Michael Goldenberg;;Christian Slater, Mary Stuart Masterson, Pamela Adlon;1 hour 27 minutes;Unknown Budget;$27,315,527
75;0115676;Big Bully (1996);Big Bully: Directed by Steve Miner. With Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane. A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.;Steve Miner;;Rick Moranis, Tom Arnold, Julianne Phillips;1 hour 30 minutes;$15,000,000 (estimated);$2,042,530
76;0114367;Screamers (1995);Screamers: Directed by Christian Duguay. With Peter Weller, Roy Dupuis, Jennifer Rubin, Andy Lauer. A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience.;Christian Duguay;;Peter Weller, Roy Dupuis, Jennifer Rubin;1 hour 48 minutes;$20,000,000 (estimated);$5,711,695
